Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Publication.Date,Event.Year,Total_Extracted_Injuries
Accident,WPR15LA159,2015-05-08,"Kettle Falls, WA",United States,485233N,0118756W,,,Non-Fatal,Helicopter,N46969,garlick,uh-1b,No,1.0,Turbo Shaft,133,,External Load,R & R CONNER AVIATION LLC,0.0,1.0,0.0,0.0,25-09-2020,2015,0
Accident,WPR15LA157,2015-05-09,"Redlands, CA",United States,003457N,0117847W,REI,REDLANDS MUNI,Non-Fatal,Airplane,N4124R,piper,pa 32-300,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,5.0,,2015,0
Accident,ERA15WA223,2015-05-09,"Novo Progresso, Brazil",Brazil,072026S,0544914W,,,Fatal,Airplane,PT-CND,cessna,182j,No,1.0,Reciprocating,NUSN,,Unknown,Franciso Dalgoberto,1.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,CEN15LA226,2015-05-10,"Dighton, KS",United States,382923N,1002847W,K65,Dighton Airport,Non-Fatal,Airplane,N879JA,air tractor inc,at 502b,No,1.0,Turbo Prop,091,,Positioning,"Jordan Air, Inc.",0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,GAA15CA065,2015-05-10,"QUINCY, WA",United States,471243N,1195034W,80T,QUINCY MUNI,Non-Fatal,Airplane,N6096F,champion,7eca,No,1.0,Reciprocating,091,,Personal,Daniel W. Morasch,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,GAA15CA067,2015-05-11,"Rigby, ID",United States,433833N,1115546W,U56,City of Rigby,Non-Fatal,Airplane,N2058U,maule,m 4-220c,No,1.0,Reciprocating,091,,Flight Test,JENKINS MICHAEL D,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,CEN15LA238,2015-05-11,"Omega, OK",United States,355213N,0981152W,,,Non-Fatal,Airplane,N7279Z,piper,pa-25-235,No,1.0,Reciprocating,137,,Aerial Application,,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Incident,DCA15WA126,2015-05-11,"Christchurch, New Zealand",New Zealand,,,,,Non-Fatal,Airplane,VH-VOP,boeing,737 - 8fe,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,CEN15LA228,2015-05-12,"Ranger, TX",United States,322546N,0983726W,,,Non-Fatal,Airplane,N3024S,piper,pa 28-161,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,1.0,1.0,25-09-2020,2015,0
Accident,ERA15LA212,2015-05-12,"Newport News, VA",United States,037755N,0762935W,PHF,Newport News,Non-Fatal,Airplane,N80PG,gates lear jet,35,No,2.0,Turbo Fan,PUBU,,Public Aircraft - Federal,PHOENIX AIR GROUP INC,0.0,0.0,0.0,2.0,03-12-2020,2015,0
Accident,ERA15LA214,2015-05-12,"Inverness, FL",United States,284813N,0082196W,INF,INVERNESS,Non-Fatal,Airplane,N43715,taylorcraft,bc-12d,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,GAA15CA103,2015-05-12,"Steele, ND",United States,465058N,0995432W,,,Non-Fatal,Airplane,N56074,piper,pa 28-180,No,1.0,Reciprocating,091,,Personal,DEWITZ CHASE,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,CEN15LA231,2015-05-13,"Columbia, IL",United States,382446N,0901324W,,,Non-Fatal,Helicopter,N165RV,robinson helicopter company,r44 ii,No,1.0,Reciprocating,137,,Aerial Application,Joshua Shiver,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,WPR15LA160,2015-05-13,"Maxwell, CA",United States,391334N,1221314W,,,Non-Fatal,Airplane,N8875H,grumman acft eng cor-schweizer,g 164a,No,1.0,Reciprocating,137,,Aerial Application,RICHTER AVIATION INC,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,ERA15WA213,2015-05-13,"Bajo Hondo, Argentina",Argentina,384444S,0614750W,,,Fatal,Airplane,LV-CXM,cessna,182,No,1.0,Reciprocating,NUSN,,Aerial Observation,Aerotec Argentina SA,2.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,GAA15CA076,2015-05-13,"Bentonville, AR",United States,362043N,0094138W,VBT,BENTONVILLE MUNI/LOUISE M THAD,Non-Fatal,Airplane,N3488C,cessna,170b,No,1.0,Reciprocating,091,,Instructional,Summit Aviation LLC,0.0,0.0,0.0,2.0,25-09-2020,2015,0
