Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Event.Year,Total_Extracted_Injuries
2007-03-30,"JEAN, NV",United States,Non-Fatal,Substantial,N714DE,edwards,wag-a-bond,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-30,"Los Banos, CA",United States,Fatal(2),Destroyed,N4369K,ryan,navion a,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,1.0,VMC,2007,2
2007-03-31,"MCCALL, ID",United States,Non-Fatal,Substantial,N46SA,swearingen,sa-226t,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,7.0,VMC,2007,0
2007-03-31,"ARLINGTON, WA",United States,Non-Fatal,Substantial,N601J,johnson,zodiac ch601,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-31,"BOUNTIFUL, UT",United States,Non-Fatal,Substantial,N455DB,burdette,rv-3,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,2007,0
2007-03-31,"BOISE, ID",United States,Non-Fatal,Substantial,N65067,cessna,t206h,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-31,"MARLBORO, MA",United States,Non-Fatal,Substantial,N4047K,navion,a,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,2007,0
2007-03-31,"KEENANSVILLE, FL",United States,Non-Fatal,Substantial,N199DA,aeroprakt,a-22,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-31,"SYLACAUGA, AL",United States,Fatal(1),Substantial,N6SZ,szybowcowy zaklad do,szd-36a,No,0.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,2007,1
2007-03-31,"BUNNELL, FL",United States,Non-Fatal,Substantial,N8092T,cessna,175,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-03-31,"Key West, FL",United States,Incident,Minor,N25612,beech,e-55,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-03-31,"Palm Springs, CA",United States,Incident,Minor,N244FX,learjet,152,No,2.0,Turbo Fan,Personal,0.0,0.0,0.0,3.0,VMC,2007,0
2007-04-01,"FORT LAUDERDALE, FL",United States,Non-Fatal,Substantial,N828EW,cessna,206g,No,2.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,2007,0
2007-04-01,"OAKLAND, CA",United States,Non-Fatal,Substantial,N81PC,cessna,t210n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-04-01,"STOCKTON, CA",United States,Non-Fatal,Substantial,N3424Q,cessna,320e,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-01,"DELRAY, FL",United States,Non-Fatal,Substantial,N9174D,carris,avid aircraft,Yes,1.0,Reciprocating,Personal,0.0,2.0,0.0,1.0,VMC,2007,0
2007-04-01,"Klagenfurt, Austria",Austria,Fatal(2),Destroyed,NONE,piper,pa-34-200t,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,1.0,VMC,2007,2
2007-04-02,"LOS ANGELES, CA",United States,Non-Fatal,Substantial,N320,carpenter,lancair 320,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-02,"DARWIN, AUSTRALIA",Australia,Non-Fatal,Substantial,NONE,israel aircraft industries,1124,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-04-02,"NEW TAZEWELL, TN",United States,Fatal(1),Substantial,N30465,piper,pa28-181,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,2007,1
2007-04-02,"Sinton, TX",United States,Fatal(1),Destroyed,N606S,schilleci,rv-6,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,2007,1
2007-04-03,"MADERA, CA",United States,Non-Fatal,Substantial,N368AM,ac mfg & dev't co,ch 2000,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-03,"FOSTORIA, OH",United States,Non-Fatal,Substantial,N3840K,boeing,e75n1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-03,"Chengdu, China",China,Incident,Substantial,NONE,boeing,747-400 cargo,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-04,"OCALA, FL",United States,Non-Fatal,Substantial,N882JB,luscombe,8f,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-04-04,"EAST WENATCHEE, WA",United States,Non-Fatal,Substantial,N6096F,champion,7eca,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-04-04,"ARLINGTON, AZ",United States,Fatal(1),Substantial,N101LX,burton,fly baby,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,2007,1
2007-04-04,"STUART, FL",United States,Non-Fatal,Substantial,N35MM,waco classic aircraft,ymf-f5c,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-04,"HINESVILLE, GA",United States,Non-Fatal,Substantial,N89193,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-04,"Trappe, MD",United States,Fatal(3),Destroyed,N555EM,piper,pa-30,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,1.0,VMC,2007,3
2007-04-05,"GRAIN VALLEY, MO",United States,Non-Fatal,Substantial,N7893F,cessna,150f,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-06,"LINCOLN, CA",United States,Non-Fatal,Substantial,N4379A,piper,pa-32r-301t,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-04-06,"DECATUR, AL",United States,Non-Fatal,Substantial,N107WB,beech,d50e,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,2007,0
2007-04-06,"WILLOW, AK",United States,Non-Fatal,Substantial,N6363G,cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-06,"Chiriaco Summit, CA",United States,Non-Fatal,Destroyed,N8340B,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2007,0
2007-04-07,"SAN MARTIN, CA",United States,Non-Fatal,Substantial,N20HD,barnett,ma-5 charger,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-07,"NORTH LAS VEGAS, NV",United States,Non-Fatal,Substantial,N1079M,cessna,172l,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,2007,0
2007-04-07,"LAKELAND, FL",United States,Non-Fatal,Substantial,N8FA,american aviation corp. (aac),aa-1a,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,2007,0
